YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FLIGHT_NUM,ORIGIN,DEST,SCHEDULED_DEP_TIME,ACTUAL_DEP_TIME,DEP_DELAY,SCHEDULED_ARR_TIME,ACTUAL_ARR_TIME,DISTANCE,ARR_DELAY,DELAY
2016,1,1,5,1399,ATL,SEA,1905,1907,2,2143,2102,2182,-41,NO
2016,1,1,5,1476,DTW,MSP,1345,1344,-1,1435,1439,528,4,NO
2016,1,1,5,1597,ATL,SEA,940,942,2,1215,1142,2182,-33,NO
2016,1,1,5,1768,SEA,MSP,819,820,1,1335,1345,1399,10,NO
2016,1,1,5,1823,SEA,DTW,2300,2256,-4,607,615,1927,8,NO
2016,1,1,5,1975,MSP,ATL,1129,1127,-2,1459,1441,907,-18,NO
2016,1,2,6,2074,ATL,MSP,1745,1745,0,1931,1920,907,-11,NO
2016,1,2,6,2151,MSP,SEA,1740,1751,11,1929,1908,1399,-21,NO
2016,1,2,6,2221,MSP,SEA,1115,1115,0,1305,1255,1399,-10,NO
2016,1,2,6,2291,MSP,ATL,1430,1443,13,1801,1800,907,-1,NO
2016,1,2,6,2350,ATL,JFK,825,828,3,1038,1029,760,-9,NO
2016,1,2,6,2444,ATL,SEA,1345,1355,10,1621,1605,2182,-16,NO
2016,1,2,6,2610,ATL,MSP,725,721,-4,904,903,907,-1,NO
2016,1,2,6,2826,DTW,SEA,835,841,6,1047,1023,1927,-24,NO
2016,1,2,6,2845,DTW,ATL,1624,1622,-2,1830,1805,594,-25,NO
2016,1,3,7,86,MSP,DTW,1345,1337,-8,1620,1616,528,-4,NO
2016,1,3,7,423,JFK,ATL,1300,1258,-2,1538,1519,760,-19,NO
2016,1,2,6,1823,DTW,SEA,1728,1724,-4,1929,1905,1927,-24,NO
2016,1,2,6,1972,SEA,JFK,715,715,0,1530,1519,2422,-11,NO
2016,1,2,6,2005,ATL,DTW,725,723,-2,920,920,594,0,NO
2016,1,2,6,2039,ATL,SEA,824,847,23,1059,1101,2182,2,NO
2016,1,3,7,902,ATL,DTW,1456,1454,-2,1655,1643,594,-12,NO
2016,1,3,7,997,MSP,DTW,833,832,-1,1116,1105,528,-11,NO
2016,1,3,7,1108,MSP,ATL,1508,1510,2,1835,1818,907,-17,NO
2016,1,3,7,1231,ATL,DTW,1340,1339,-1,1537,1524,594,-13,NO
2016,1,3,7,1291,SEA,ATL,745,750,5,1529,1528,2182,-1,NO
2016,1,3,7,1397,MSP,SEA,1440,1439,-1,1625,1604,1399,-21,NO
2016,1,3,7,1444,DTW,ATL,2020,2021,1,2227,2211,594,-16,NO
2016,1,3,7,1491,MSP,ATL,610,608,-2,940,922,907,-18,NO
2016,1,3,7,1573,SEA,ATL,2355,4,9,732,736,2182,4,NO
2016,1,3,7,1646,ATL,SEA,1620,1621,1,1859,1838,2182,-21,NO
2016,1,3,7,1734,MSP,DTW,1152,1151,-1,1433,1425,528,-8,NO
2016,1,4,1,1587,DTW,ATL,1345,1350,5,1549,1532,594,-17,NO
2016,1,4,1,1699,DTW,SEA,1215,1236,21,1420,1437,1927,17,YES
2016,1,4,1,1770,SEA,MSP,1520,1521,1,2032,2048,1399,16,YES
2016,1,2,6,991,ATL,DTW,1205,1205,0,1404,1405,594,1,NO
2016,1,2,6,1104,ATL,MSP,1205,1219,14,1345,1355,907,10,NO
2016,1,3,7,1770,SEA,MSP,1520,1602,42,2032,2108,1399,36,YES
2016,1,3,7,1842,DTW,ATL,1005,1003,-2,1209,1149,594,-20,NO
2016,1,3,7,1975,MSP,ATL,1129,1155,26,1500,1506,907,6,NO
2016,1,3,7,2039,ATL,SEA,824,831,7,1059,1102,2182,3,NO
2016,1,3,7,2139,JFK,ATL,830,826,-4,1111,1108,760,-3,NO
2016,1,3,7,2193,MSP,SEA,650,650,0,844,819,1399,-25,NO
2016,1,3,7,2255,MSP,ATL,1320,1319,-1,1649,1636,907,-13,NO
2016,1,3,7,2318,SEA,MSP,710,710,0,1223,1220,1399,-3,NO
2016,1,3,7,2418,DTW,ATL,1205,1206,1,1411,1415,594,4,NO
2016,1,3,7,2515,DTW,JFK,1930,1927,-3,2125,2105,509,-20,NO
2016,1,4,1,2418,DTW,ATL,1205,1205,0,1411,1423,594,12,NO
2016,1,4,1,2515,DTW,JFK,1930,1939,9,2125,2138,509,13,NO
2016,1,4,1,2793,DTW,MSP,1006,1019,13,1105,1102,528,-3,NO
2016,1,4,1,2829,ATL,DTW,2040,2041,1,2234,2229,594,-5,NO
2016,1,5,2,8,MSP,ATL,1732,1728,-4,2105,2043,907,-22,NO
2016,1,5,2,87,DTW,MSP,1540,1535,-5,1649,1631,528,-18,NO
2016,1,5,2,425,JFK,ATL,1501,1537,36,1750,1749,760,-1,NO
2016,1,5,2,449,JFK,SEA,700,658,-2,1020,1000,2422,-20,NO
2016,1,3,7,483,JFK,SEA,1625,1705,40,1951,2023,2422,32,YES
2016,1,3,7,569,ATL,JFK,1740,1741,1,2008,1955,760,-13,NO
2016,1,3,7,630,DTW,ATL,1746,1741,-5,1954,1925,594,-29,NO
2016,1,3,7,701,SEA,DTW,2300,2302,2,609,617,1927,8,NO
2016,1,3,7,783,ATL,MSP,840,841,1,1022,1022,907,0,NO
2016,1,3,7,2811,JFK,MSP,805,803,-2,1024,1012,1029,-12,NO
2016,1,3,7,2829,ATL,DTW,2040,2040,0,2234,2229,594,-5,NO
2016,1,4,1,53,MSP,DTW,1530,1530,0,1805,1810,528,5,NO
2016,1,4,1,391,MSP,ATL,1910,1911,1,2240,2227,907,-13,NO
2016,1,4,1,453,JFK,MSP,1625,1654,29,1845,1909,1029,24,YES
2016,1,4,1,488,JFK,SEA,700,701,1,1020,946,2422,-34,NO
2016,1,4,1,588,SEA,MSP,1120,1211,51,1637,1721,1399,44,YES
2016,1,4,1,658,MSP,JFK,1020,1020,0,1405,1404,1029,-1,NO
2016,1,4,1,744,MSP,ATL,958,1000,2,1328,1312,907,-16,NO
2016,1,4,1,843,ATL,JFK,1025,1024,-1,1240,1223,760,-17,NO
2016,1,4,1,945,DTW,MSP,719,722,3,830,815,528,-15,NO
2016,1,4,1,1055,DTW,MSP,1940,2004,24,2036,2050,528,14,NO
2016,1,4,1,1122,MSP,ATL,730,725,-5,1111,1039,907,-32,NO
2016,1,4,1,1247,ATL,MSP,1455,1457,2,1640,1639,907,-1,NO
2016,1,4,1,1357,MSP,DTW,1752,1752,0,2033,2035,528,2,NO
2016,1,4,1,1410,SEA,ATL,1345,1345,0,2128,2132,2182,4,NO
2016,1,4,1,1448,ATL,DTW,1905,1903,-2,2103,2057,594,-6,NO
2016,1,5,2,1267,ATL,DTW,1735,1834,59,1934,2011,594,37,YES
2016,1,5,2,1403,ATL,SEA,1350,1354,4,1625,1608,2182,-17,NO
2016,1,5,2,1476,DTW,MSP,1350,1346,-4,1449,1427,528,-22,NO
2016,1,6,3,929,DTW,ATL,1627,1622,-5,1840,1824,594,-16,NO
2016,1,6,3,984,ATL,JFK,2050,2050,0,2314,2256,760,-18,NO
2016,1,6,3,1096,DTW,MSP,1200,1152,-8,1302,1238,528,-24,NO
2016,1,6,3,1122,MSP,ATL,729,722,-7,1104,1051,907,-13,NO
2016,1,6,3,1195,DTW,JFK,2000,1959,-1,2159,2146,509,-13,NO
2016,1,6,3,1291,SEA,ATL,830,833,3,1614,1616,2182,2,NO
2016,1,6,3,1461,DTW,SEA,1215,1212,-3,1430,1346,1927,-44,NO
2016,1,6,3,1598,SEA,ATL,620,614,-6,1404,1354,2182,-10,NO
2016,1,6,3,1734,MSP,DTW,1152,1146,-6,1436,1423,528,-13,NO
2016,1,6,3,1795,ATL,JFK,1745,1743,-2,2014,2009,760,-5,NO
2016,1,7,4,434,JFK,ATL,805,804,-1,1043,1019,760,-24,NO
2016,1,7,4,514,ATL,MSP,1205,1227,22,1354,1355,907,1,NO
2016,1,7,4,589,MSP,SEA,910,907,-3,1100,1056,1399,-4,NO
2016,1,5,2,1650,DTW,MSP,705,704,-1,824,815,528,-9,NO
2016,1,5,2,1734,MSP,DTW,1152,1149,-3,1436,1417,528,-19,NO
2016,1,5,2,1795,ATL,JFK,1745,1746,1,2014,2008,760,-6,NO
2016,1,5,2,1893,DTW,ATL,835,842,7,1049,1049,594,0,NO
2016,1,5,2,2016,JFK,ATL,1930,1932,2,2211,2147,760,-24,NO
2016,1,6,3,1975,MSP,ATL,1125,1125,0,1458,1455,907,-3,NO
2016,1,6,3,2074,ATL,MSP,1735,1736,1,1924,1910,907,-14,NO
2016,1,6,3,2221,MSP,SEA,1130,1125,-5,1322,1257,1399,-25,NO
2016,1,6,3,2287,ATL,MSP,2215,2244,29,2357,3,907,6,NO
2016,1,6,3,2382,ATL,MSP,1915,1914,-1,2108,2036,907,-32,NO
2016,1,6,3,2448,DTW,ATL,1205,1201,-4,1415,1349,594,-26,NO
2016,1,6,3,2793,DTW,MSP,1001,957,-4,1107,1045,528,-22,NO
2016,1,7,4,7,ATL,MSP,1046,1043,-3,1230,1207,907,-23,NO
2016,1,7,4,86,MSP,DTW,1348,1339,-9,1632,1615,528,-17,NO
2016,1,7,4,423,JFK,ATL,1325,1335,10,1600,1604,760,4,NO
2016,1,7,4,2448,DTW,ATL,1208,1204,-4,1420,1356,594,-24,NO
2016,1,5,2,485,JFK,SEA,1650,1645,-5,2018,1920,2422,-58,NO
2016,1,5,2,588,SEA,MSP,1105,1108,3,1627,1626,1399,-1,NO
2016,1,5,2,744,MSP,ATL,1005,1002,-3,1334,1323,907,-11,NO
2016,1,5,2,789,SEA,MSP,1315,1314,-1,1837,1835,1399,-2,NO
2016,1,5,2,844,ATL,MSP,1046,1044,-2,1230,1206,907,-24,NO
2016,1,5,2,929,DTW,ATL,1627,1623,-4,1840,1821,594,-19,NO
2016,1,5,2,984,ATL,JFK,2050,2049,-1,2315,2248,760,-27,NO
2016,1,5,2,1096,DTW,MSP,1200,1200,0,1303,1245,528,-18,NO
2016,1,5,2,1145,ATL,DTW,1620,1622,2,1824,1804,594,-20,NO
2016,1,7,4,1593,SEA,ATL,2316,2313,-3,653,654,2182,1,NO
2016,1,7,4,1707,DTW,MSP,834,830,-4,945,915,528,-30,NO
2016,1,7,4,1770,SEA,MSP,1530,1529,-1,2048,2047,1399,-1,NO
2016,1,7,4,1840,MSP,DTW,1759,1803,4,2044,2051,528,7,NO
2016,1,7,4,1975,MSP,ATL,1125,1125,0,1458,1455,907,-3,NO
2016,1,7,4,2074,ATL,MSP,1735,1756,21,1924,1933,907,9,NO
2016,1,7,4,2221,MSP,SEA,1130,1126,-4,1322,1254,1399,-28,NO
2016,1,7,4,2287,ATL,MSP,2215,2210,-5,2357,2332,907,-25,NO
2016,1,7,4,2382,ATL,MSP,1915,1916,1,2108,2036,907,-32,NO
2016,1,8,5,1231,ATL,DTW,1341,1339,-2,1542,1535,594,-7,NO
2016,1,7,4,744,MSP,ATL,1005,1010,5,1334,1349,907,15,YES
2016,1,7,4,789,SEA,MSP,1315,1310,-5,1837,1850,1399,13,NO
2016,1,7,4,844,ATL,MSP,1046,1045,-1,1230,1213,907,-17,NO
2016,1,7,4,945,DTW,ATL,1345,1337,-8,1558,1530,594,-28,NO
2016,1,7,4,987,SEA,DTW,2300,2254,-6,615,621,1927,6,NO
2016,1,7,4,1107,ATL,SEA,1920,1926,6,2205,2117,2182,-48,NO
2016,1,7,4,1145,ATL,DTW,1620,1631,11,1824,1813,594,-11,NO
2016,1,7,4,1231,ATL,DTW,1341,1345,4,1542,1538,594,-4,NO
2016,1,7,4,1397,MSP,SEA,1415,1410,-5,1603,1546,1399,-17,NO
2016,1,7,4,1473,SEA,JFK,1110,1110,0,1930,1944,2422,14,NO
2016,1,8,5,2188,ATL,SEA,1630,1631,1,1913,1837,2182,-36,NO
2016,1,8,5,2263,ATL,DTW,1054,1057,3,1253,1247,594,-6,NO
2016,1,8,5,2312,MSP,JFK,1755,1751,-4,2149,2150,1029,1,NO
2016,1,8,5,2413,SEA,JFK,700,702,2,1515,1529,2422,14,NO
2016,1,8,5,2448,DTW,ATL,1205,1157,-8,1418,1410,594,-8,NO
2016,1,8,5,2610,ATL,MSP,730,729,-1,914,846,907,-28,NO
2016,1,8,5,2817,JFK,DTW,901,858,-3,1115,1057,509,-18,NO
2016,1,7,4,2794,DTW,ATL,720,718,-2,945,938,594,-7,NO
2016,1,8,5,8,MSP,ATL,1732,1735,3,2105,2133,907,28,YES
2016,1,8,5,281,DTW,SEA,840,833,-7,1100,1013,1927,-47,NO
2016,1,8,5,440,JFK,ATL,816,814,-2,1051,1041,760,-10,NO
2016,1,8,5,514,ATL,MSP,1205,1244,39,1354,1400,907,6,NO
2016,1,8,5,589,MSP,SEA,910,907,-3,1100,1102,1399,2,NO
2016,1,8,5,744,MSP,ATL,1005,1023,18,1334,1346,907,12,NO
2016,1,8,5,784,ATL,MSP,855,854,-1,1040,1009,907,-31,NO
2016,1,8,5,840,MSP,DTW,1951,1948,-3,2234,2236,528,2,NO
